Unnamed: 0,shoporder,Model,Assembly Error,Contamination,Continuity Fail,Cosmetic Defect,"Cracks, Splits, or Chips",Damaged Harness Cable,Defective Components,Device Key Not Reading Device,Discolored Component,Engineering Sample,Exposed Wire (Dynamic),Failed Trigger Gauge,Failure to Unlock Trigger,Front Stops Not Touching,Front and Middle Stops Not Touching,Fuse Switch,High Jaw Force,High Jaw Gap,Incorrect Configuration,Incorrect Insulation Orientation,Incorrect/Missing Weld,Insulation Damage,Jaw Short,Low Jaw Force,Low Jaw Gap,Material Underissue,Middle Stops Not Touching,Open Handle,Particulate Matter,Rough Blade,Rough Jaw Actuation,Rough Knob Rotation,Scratches,Stuck Blade,Trigger Retraction,Vertical Misalignment,Wire Exposure
0,1510779,EB215,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,6,0,0,0,3,0,0,0,0,1,0,0,0
1,1508113,EB215,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,3,0,0,0,0,0,0,0,2,12,4,0,0
2,1510781,EB215,0,0,2,0,0,4,0,0,0,0,0,0,0,2,0,0,2,0,1,3,0,0,1,0,5,8,0,0,1,0,1,0,0,1,0,0,0
3,1513568,EB211,0,0,2,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,1,0,1,0,0,0,0,0,0
4,1512002,EB215,0,0,1,5,2,1,0,0,0,0,0,0,0,7,0,0,1,1,2,13,0,2,1,0,1,0,0,0,1,0,2,0,0,11,1,0,0
5,1512027,EB217,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,2,0,0,0,0,0,2,0,0,3,0,0,0
6,1512026,EB215,0,0,3,2,0,5,0,0,0,0,0,0,0,4,0,0,2,0,2,1,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
7,1514189,EB215,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,1,30,0,0,0,1,4,2,2,1,0,0,0,2,0,0,0,0,9,0,0,0
8,1514191,EB217,0,0,2,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0
9,1514188,EB215,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,11,1,0,7,8,0,0,0,0,0,1,1,0,5,0,0,0
10,1504586,EB216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1504585,EB211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1512004,EB215,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,10,3,3,6,0,3,3,0,4,0,0,0,2,0,2,0,1,1,2,0,1
13,1517972,EB213,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1515307,EB215,0,1,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,13,0,0,0,0,0,1,0,0,0,0,0,0
15,1512025,EB214,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0
16,1518004,EB217,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0
17,1515308,EB215,0,0,1,4,0,4,0,0,0,0,0,0,0,0,0,1,1,0,3,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
18,1517977,EB215,0,0,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,45,5,0,0,0,0,0,0,0,0,0,0,0,0
19,1514190,EB215,0,0,3,3,0,4,0,0,0,0,0,0,0,0,0,0,23,0,1,1,2,5,5,1,2,0,0,0,3,0,0,0,0,5,1,0,0
20,1517597,EB210,0,0,15,0,0,4,0,0,2,0,0,0,7,2,0,0,1,0,0,0,0,4,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0
21,1514184,EB212,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1518279,EB216,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23,1517980,EB215,0,0,4,2,0,1,0,0,0,0,0,0,0,4,0,0,0,0,3,1,1,0,0,0,6,0,0,0,1,0,0,0,0,2,0,0,0
24,1519723,EB212,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,1521671,EB215,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
26,1519767,EB217,1,0,3,1,0,1,0,2,0,0,0,0,0,1,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,10,0,0,0,1,0,0,0
27,1519721,EB211,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1518003,EB215,0,1,4,2,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0,4,2,7,1,0,4,0,0,1,0,0,0,0,0,5,1,0,0
29,1524592,EB216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1523562,EB217,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
31,1524588,EB214,0,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32,1524265,EB211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1523561,EB215,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0,10,2,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
34,1524587,EB212,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
35,1522861,EB215,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,0,0,0,0,3,0,3,0,0,0,0,0,0
36,1520624,EB213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
37,1520623,EB212,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,0,0,0
38,1522860,EB215,0,0,3,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,2,0,0,4,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0
39,1519737,EB215,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,3,0,1,3,0,6,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0
40,1519738,EB215,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,14,3,1,1,0,0,0,0,0,0,0,2,5,1,0,0
41,1519748,EB216,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
42,1519769,EB217,0,0,7,0,0,0,1,0,0,0,1,0,0,0,0,0,1,5,0,0,0,1,0,2,0,0,0,0,0,5,0,0,0,0,1,1,0
43,1519717,EB210,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1518413,EB215,0,1,2,1,0,2,0,0,0,0,0,1,0,1,0,1,3,2,0,1,0,2,1,2,5,0,0,0,1,0,0,0,0,2,0,0,0
45,1519724,EB213,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
46,1519768,EB217,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1522868,EB215,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,5,0,5,2,0,6,0,0,0,1,0,0,0,0,1,0,0,3
48,1522508,EB216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1522813,EB215,0,0,7,2,0,1,0,0,0,0,0,0,0,0,1,0,8,8,4,0,0,0,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0
50,1520635,EB217,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
51,1521801,EB211,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,2,0,9,0,0,2,0,0,0
52,1519739,EB215,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,2,1,9,0,0,0,0,0,0,0,2,1,0,0,1
53,1524591,EB213,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1525034,EB215,0,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1526573,EB212,0,2,19,1,0,0,0,0,0,0,0,0,0,0,0,7,0,2,1,0,0,1,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0
56,1521800,EB210,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0
57,1526543,EB215,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,7,0,0,0,0,0,0,0,0,1,0,0,0
58,1524590,EB215,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,1523580,EB211,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
60,1528174,EB217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
