,shoporder,Blade Activation,Continuity Fail,Device Key Not Reading,Electrode Continuity,Exposed Wire (Static),Front Stops Not Touching,Fuse Switch,High Jaw Force ,High Jaw Gap,Incorrect Insulation Orientation,Insulation Damage,Jaw Short,Low Jaw Force,Low Jaw Gap,Misaligned ,QC- Particulate Matter,Scratches,Stuck Blade,Trigger Actuation,Trigger Retraction
0,1510779,8,0,0,1,0,0,0,0,0,0,16,8,0,5,0,0,4,0,2,0
1,1508113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1510781,7,0,1,7,0,1,0,0,0,0,10,5,0,4,0,0,3,0,2,0
3,1513568,0,1,0,0,0,0,2,0,3,4,0,1,2,0,0,0,0,4,0,3
4,1512002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1512027,13,0,0,3,0,0,0,0,1,0,1,2,0,0,0,0,2,0,0,0
6,1512026,5,0,0,1,0,0,0,0,1,0,14,6,0,2,0,0,3,0,1,0
7,1514189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1514191,11,0,0,2,0,5,1,0,0,0,2,1,0,1,0,0,4,0,0,0
9,1514188,10,0,0,2,0,0,0,0,0,0,5,2,0,4,0,0,0,0,0,0
10,1504586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1504585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1512004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1517972,1,0,0,3,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0
14,1515307,4,0,4,9,0,1,0,0,0,0,12,2,0,4,0,0,3,0,1,0
15,1512025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1518004,11,0,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
17,1515308,6,0,0,1,0,1,0,5,1,0,5,1,0,2,0,0,1,0,2,0
18,1517977,5,0,0,5,0,0,1,0,2,0,10,3,0,1,0,0,1,0,0,0
19,1514190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1517597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1514184,1,0,2,5,0,0,0,0,0,0,3,0,1,0,0,0,3,0,0,0
22,1518279,0,0,0,3,0,1,1,4,1,0,1,0,0,0,0,0,0,0,0,0
23,1517980,7,0,1,7,0,0,0,7,0,0,5,2,2,2,0,0,3,0,2,0
24,1519723,2,0,1,3,0,0,1,0,0,0,2,2,1,2,4,0,0,0,1,0
25,1521671,0,0,0,8,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0
26,1519767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1519721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1518003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1524592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1523562,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1524588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1524265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1523561,0,0,0,2,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0
34,1524587,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1522861,0,0,0,9,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
36,1520624,0,0,0,12,0,0,2,0,0,0,4,0,0,0,0,0,1,0,0,0
37,1520623,4,0,0,7,0,0,1,0,0,0,6,0,1,0,0,0,1,0,0,0
38,1522860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1519737,11,0,0,6,0,4,0,3,0,0,8,2,0,8,0,0,17,0,0,0
40,1519738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1519748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
42,1519769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1519717,2,0,0,2,0,2,0,0,0,0,11,1,0,0,0,15,0,0,2,0
44,1518413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1519724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1519768,2,0,0,1,0,0,0,13,0,0,1,0,0,3,0,0,5,0,0,0
47,1522868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1522508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1522813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1520635,9,0,0,2,0,0,0,0,0,0,3,2,0,0,0,0,1,0,1,0
51,1521801,8,0,0,6,0,7,0,0,0,0,7,1,0,0,0,0,4,0,20,0
52,1519739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1524591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1525034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1526573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1521800,3,0,0,6,0,0,0,0,0,0,8,0,0,0,0,0,3,0,4,0
57,1526543,0,7,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0
58,1524590,0,0,0,10,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
59,1523580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1528174,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
